STATIONS_ID;MESS_DATUM_BEGINN;MESS_DATUM_ENDE;QN_4;MO_N;MO_TT;MO_TX;MO_TN;MO_FK;MX_TX;MX_FX;MX_TN;MO_SD_S;QN_6;MO_RR;MX_RS;eor
        603;20000901;20000930;    1;  -999;   -999;    -999;    -999;-999;-999;  16.0;-999; 128.80;    9;   105.3;   26.9;eor
        603;20001101;20001130;    1;  -999;   7.93;   10.50;    5.48;    2.90;  14.0;  17.0;   2.0;  62.40;    1;    30.5;    5.2;eor
        603;20001201;20001231;    1;  -999;   -999;    -999;    -999;-999;-999;-999;-999;  60.30;-999;-999;-999;eor
        603;20010101;20010131;    1;  -999;   -999;    -999;    -999;-999;-999;  16.0;-999;  77.90;    1;    57.9;   13.0;eor
        603;20010501;20010531;    1;  -999;  15.16;   20.16;    9.20;-999;  25.1;  14.7;   4.7; 249.20;    1;    22.3;    7.7;eor
        603;20010601;20010630;    1;  -999;  15.13;    -999;    -999;-999;-999;-999;-999;-999;-999;-999;-999;eor
        603;20010701;20010731;    1;  -999;  19.11;    -999;    -999;-999;-999;-999;-999;-999;-999;-999;-999;eor
        603;20010801;20010831;    1;  -999;  19.61;   24.82;   14.24;-999;  34.0;  15.7;   7.9; 203.20;    1;    27.9;    8.5;eor
        603;20010901;20010930;    1;  -999;  12.50;    -999;    -999;-999;-999;  17.8;-999;-999;-999;-999;-999;eor
        603;20011001;20011031;    1;  -999;  13.95;   17.65;   10.51;-999;  24.7;-999;   6.7;-999;-999;-999;-999;eor
        603;20011101;20011130;    1;  -999;   5.19;    7.85;    2.49;    1.83;  12.5;  18.0;  -4.0;  59.20;    1;   119.4;   22.2;eor
        603;20020201;20020228;    1;  -999;   6.90;    9.75;    3.80;    2.89;  16.5;  22.1;  -4.2;  77.80;    1;   122.0;   22.6;eor
        603;20020301;20020331;    1;  -999;   7.17;   11.41;    2.89;    2.39;  16.8;  18.9;  -2.8; 135.00;    1;    60.9;   14.6;eor
        603;20020401;20020430;    1;  -999;   9.44;   13.89;    4.98;    2.30;  19.4;  26.4;  -1.7; 185.90;    1;    78.8;   19.3;eor
        603;20020501;20020531;    1;  -999;  14.10;   18.40;    9.73;    2.19;  26.6;  14.8;   3.1; 173.70;    1;    58.4;   36.3;eor
        603;20020801;20020831;    1;  -999;  18.45;   23.04;   14.42;    1.84;  29.4;  12.1;  12.2; 154.90;    1;    78.1;   23.7;eor
        603;20020901;20020930;    1;  -999;  13.70;   18.53;    9.20;-999;  24.9;  17.3;   2.9; 156.80;    1;    23.2;    7.8;eor
        603;20021101;20021130;    1;  -999;   8.16;    -999;    -999;-999;-999;-999;-999;-999;-999;-999;-999;eor
        603;20021201;20021231;    1;  -999;   3.64;    5.93;    1.76;    2.42;  13.1;-999;  -8.8;  50.10;    1;     3.4;    1.2;eor
        603;20030201;20030228;    1;  -999;   1.17;    5.15;   -2.41;    2.28;  16.0;-999;  -8.0; 158.40;-999;-999;-999;eor
        603;20030301;20030331;    1;  -999;   8.08;   12.95;    3.41;    2.13;  20.0;  13.9;  -1.9; 195.80;-999;-999;-999;eor
        603;20030401;20030430;    1;  -999;   9.88;   14.95;    4.34;    2.27;  23.6;-999;  -5.0; 215.50;    9;    51.2;   17.2;eor
        603;20030501;20030531;    1;  -999;  14.32;   19.28;    9.41;-999;  27.7;  15.8;   2.8; 187.40;    9;    84.9;   13.7;eor
        603;20030601;20030630;    1;  -999;  19.28;   24.97;   13.14;    2.00;  30.1;  23.9;   8.0; 274.00;    9;    79.1;   22.9;eor
        603;20030701;20030731;    1;  -999;  19.30;   24.80;   14.17;    2.06;  34.2;-999;   9.9; 228.40;    9;    64.4;   30.8;eor
        603;20030901;20030930;    1;  -999;   -999;   20.99;    9.55;-999;  29.8;-999;   4.1; 225.20;    9;    67.3;   27.7;eor
        603;20031201;20031231;    1;  -999;   3.40;    6.10;    1.10;    2.39;  12.4;  18.6;  -5.4;  69.30;-999;-999;-999;eor
        603;20040101;20040131;    1;  -999;   2.24;    4.42;    0.03;    2.45;  11.5;  19.9;  -8.1;  27.40;    1;   115.7;   30.2;eor
        603;20040201;20040229;    1;  -999;   4.01;    -999;    -999;-999;-999;-999;-999;-999;-999;-999;-999;eor
        603;20040301;20040331;    1;  -999;   5.55;    -999;    -999;-999;-999;-999;-999;-999;-999;-999;-999;eor
        603;20040401;20040430;    1;  -999;  10.41;    -999;    -999;-999;-999;-999;-999; 163.30;-999;-999;-999;eor
        603;20040501;20040531;    1;  -999;  12.05;   16.91;    7.01;-999;  23.5;  14.5;   2.6; 185.50;    1;    93.8;   40.7;eor
        603;20040601;20040630;    1;  -999;  15.83;   20.86;   10.86;    1.97;  29.7;  23.2;   6.6; 179.90;    1;    74.7;   17.9;eor
        603;20040701;20040731;    1;  -999;  17.26;   22.36;   12.85;-999;  29.1;-999;   9.4; 177.80;    1;   132.2;   43.3;eor
        603;20040801;20040831;    1;  -999;  18.95;   24.07;   14.75;    2.13;  31.4;  17.9;   8.5; 188.20;    1;   156.7;   43.0;eor
        603;20040901;20040930;    1;  -999;  15.05;    -999;    -999;-999;-999;-999;-999;-999;-999;-999;-999;eor
        603;20041001;20041031;    1;  -999;  11.40;    -999;    -999;-999;-999;-999;-999;-999;-999;-999;-999;eor
        603;20041101;20041130;    1;  -999;   5.21;    8.37;    2.23;-999;  14.2;  15.1;  -3.4;  51.50;    1;   103.7;   38.9;eor
        603;20050301;20050331;    3;  -999;   6.41;    -999;    -999;-999;-999;-999;-999;-999;-999;-999;-999;eor
        603;20050901;20050930;    3;  -999;  15.92;   21.98;   10.71;    1.80;  30.4;  13.6;   2.9; 205.60;-999;-999;-999;eor
        603;20051001;20051031;    3;  -999;  12.77;   18.34;    8.72;    2.39;  22.5;  14.7;   1.3; 187.60;-999;-999;-999;eor
        603;20051101;20051130;    3;  -999;   5.91;    8.79;    3.23;    2.10;  17.4;  17.9;  -4.5;  63.50;    9;    66.6;   16.2;eor
        603;20051201;20051231;    3;  -999;   2.53;    4.53;    0.30;    2.29;   9.3;  18.1;  -4.4;  39.40;    9;    64.5;   11.7;eor
        603;20060101;20060131;    3;  -999;  -0.36;    2.55;   -3.32;    2.03;   8.7;  16.6; -10.0; 101.10;    3;    15.0;    3.4;eor
        603;20060201;20060228;    3;  -999;   1.32;    3.94;   -1.01;    2.14;  10.2;  17.5;  -9.1;  44.80;    3;    52.9;   12.3;eor
        603;20060401;20060430;    3;  -999;   8.81;   13.42;    4.47;    2.23;  23.8;  14.4;  -2.1; 129.00;    3;    54.6;    7.8;eor
        603;20060501;20060531;    3;  -999;  13.89;   18.64;    8.92;    2.35;  25.3;  25.5;   1.3; 182.50;    3;   126.6;   22.3;eor
        603;20060601;20060630;    3;  -999;  17.32;    -999;    -999;    1.93;-999;-999;-999;-999;-999;-999;-999;eor
        603;20060701;20060731;    3;  -999;  22.60;   29.13;   16.30;    1.94;  34.7;  15.0;  11.0; 319.90;    3;    51.1;   20.6;eor
        603;20060801;20060831;    3;  -999;  15.71;   20.84;   12.05;    2.00;  26.3;  13.9;   8.7; 105.20;-999;-999;-999;eor
        603;20060901;20060930;    3;  -999;  17.80;   23.34;   12.73;    2.10;  28.4;  15.9;   6.0; 188.20;    9;    35.9;   21.8;eor
        603;20061001;20061031;    3;  -999;  13.58;   17.71;    9.57;    2.42;  23.2;  18.6;   4.3; 116.70;    9;    41.6;   17.9;eor
        603;20061101;20061130;    3;  -999;   8.62;   11.79;    5.07;    2.57;  18.0;  17.8;  -1.5;  59.70;    9;    69.5;   12.7;eor
        603;20061201;20061231;    3;  -999;   5.40;    7.83;    2.89;    2.26;  15.6;  22.8;  -3.9;  54.80;    9;    46.7;   15.8;eor
        603;20070101;20070131;    3;  -999;   6.13;    8.80;    3.46;    2.74;  14.8;  29.4;  -6.7;  42.50;    9;    91.6;   22.8;eor
        603;20070201;20070228;    3;  -999;   5.71;    8.67;    2.89;    2.46;  13.4;  16.2;  -3.2;  38.00;    9;    70.4;   10.4;eor
        603;20070301;20070331;    3;  -999;   7.38;   12.05;    3.31;    2.42;  17.7;  21.8;  -2.0; 140.00;    9;    62.1;   11.3;eor
        603;20070401;20070430;    3;  -999;  13.48;   20.33;    6.06;    2.00;  28.3;  10.6;  -0.9; 305.40;    9;     0.3;    0.3;eor
        603;20070501;20070531;    3;  -999;  15.02;   20.41;    9.73;    2.19;  28.4;  25.9;   3.7; 203.30;    9;   129.7;   17.4;eor
        603;20070601;20070630;    3;  -999;  17.88;   23.13;   12.79;    1.93;  30.9;  24.3;   8.3; 183.90;    9;    89.7;   25.5;eor
        603;20070701;20070731;    3;  -999;  17.63;   23.39;   12.55;    2.10;  34.5;  19.0;   8.1; 201.10;    9;    83.4;   15.0;eor
        603;20070801;20070831;    3;  -999;  16.91;   22.47;   11.58;    2.03;  31.6;  17.6;   5.0; 211.00;    9;   184.6;   57.4;eor
