STATIONS_ID;MESS_DATUM;QN_3;  FX;  FM;QN_4; RSK;RSKF; SDK;SHK_TAG;  NM; VPM;  PM; TMK; UPM; TXK; TNK; TGK;eor
       3490;20200322;-999;-999;-999;    3;   0.0;   0;   10.783;   0;  -999;   3.7;    -999;    4.7;   44.71;   10.2;    0.9;   -1.9;eor
       3490;20200323;-999;-999;-999;    3;   0.0;   0;   10.833;   0;  -999;   3.0;    -999;    3.2;   42.17;    9.6;   -2.9;   -6.6;eor
       3490;20200324;-999;-999;-999;    3;   0.0;   0;   10.867;   0;  -999;   3.2;    -999;    2.2;   49.75;    9.8;   -4.9;   -8.2;eor
       3490;20200325;-999;-999;-999;    3;   0.0;   0;   10.867;   0;  -999;   3.1;    -999;    3.3;   46.92;   12.2;   -5.3;   -9.6;eor
       3490;20200326;-999;-999;-999;    3;   0.0;   0;   10.883;   0;  -999;   4.1;    -999;    3.9;   53.08;   11.4;   -3.9;   -7.8;eor
       3490;20200327;-999;-999;-999;    3;   0.0;   0;   10.817;   0;  -999;   5.9;    -999;    7.5;   59.50;   16.9;   -0.7;   -1.9;eor
       3490;20200328;-999;-999;-999;    3;   0.0;   0;   10.767;   0;  -999;   6.5;    -999;    9.1;   58.83;   17.1;    2.1;    1.2;eor
       3490;20200329;-999;-999;-999;    3;   0.3;   4;    0.200;   0;  -999;   5.6;    -999;    3.8;   69.58;    6.5;    0.1;   -3.2;eor
       3490;20200330;-999;-999;-999;    3;   0.3;   4;    8.167;   0;  -999;   4.2;    -999;    2.8;   56.58;    7.8;   -4.7;   -7.8;eor
       3490;20200331;-999;-999;-999;    3;   0.0;   4;   10.067;   0;  -999;   5.2;    -999;    5.1;   61.29;   10.2;   -1.0;   -4.4;eor
       3490;20200401;-999;-999;-999;    3;   0.0;   0;   11.117;   0;  -999;   4.2;    -999;    4.2;   55.08;   11.5;   -2.5;   -4.7;eor
       3490;20200402;-999;-999;-999;    3;   0.0;   4;   11.200;   0;  -999;   5.4;    -999;    5.5;   61.08;   11.4;   -1.5;   -3.0;eor
       3490;20200403;-999;-999;-999;    3;   0.0;   0;    0.783;   0;  -999;   6.4;    -999;    8.3;   59.46;   11.9;    2.1;   -1.8;eor
       3490;20200404;-999;-999;-999;    3;   0.0;   0;   11.333;   0;  -999;   5.4;    -999;    6.5;   59.92;   14.7;   -0.4;   -2.7;eor
       3490;20200405;-999;-999;-999;    3;   0.0;   0;   11.383;   0;  -999;   6.1;    -999;    9.1;   59.79;   19.7;   -1.4;   -4.9;eor
       3490;20200406;-999;-999;-999;    3;   0.0;   0;   11.417;   0;  -999;   6.1;    -999;   13.2;   47.25;   22.9;    2.1;   -2.2;eor
       3490;20200407;-999;-999;-999;    3;   0.0;   0;   11.283;   0;  -999;   9.4;    -999;   14.4;   58.54;   22.4;    7.0;    3.7;eor
       3490;20200408;-999;-999;-999;    3;   0.0;   4;   10.667;   0;  -999;   8.8;    -999;   15.0;   56.96;   24.3;    5.8;    1.8;eor
       3490;20200409;-999;-999;-999;    3;   0.0;   0;   11.467;   0;  -999;   9.3;    -999;   15.9;   54.38;   23.2;    6.8;    3.8;eor
       3490;20200410;-999;-999;-999;    3;   0.0;   0;   11.550;   0;  -999;   8.8;    -999;   14.1;   58.38;   22.5;    6.7;    4.2;eor
       3490;20200411;-999;-999;-999;    3;   0.0;   0;   11.367;   0;  -999;   8.3;    -999;   14.0;   56.75;   23.6;    3.9;    1.3;eor
